id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,constellation,proper,ra,dec,dist_ly,x0,y0,z0,dist_src,mag,absmag,spect,ci,
1451151,9007-5848-1,5877748442128924544,71453,71681,128621,5460,Gl 559B,Alp-2,Cen,Toliman,14.66094189,-60.83947139,4.3214976,-0.495,-0.414,-1.157,HIP,1.35,5.739,K1V,0.9,
1451193,9007-5849-1,,71456,71683,128620,5459,Gl 559A,Alp-1,Cen,Rigil Kentaurus,14.66136069,-60.83514707,4.3214976,-0.495,-0.414,-1.157,HIP,-0.01,4.379,G2V,0.71,
584955,5949-2777-1,,32263,32349,48915,2491,Gl 244A,Alp,CMa,Sirius,6.7525694,-16.71314306,8.6022202000000014,-0.494,2.477,-0.758,HIP,-1.44,1.454,A0m...,0.009,
260533,5296-1533-1,,16496,16537,22049,1084,Gl 144,Eps,Eri,Ran,3.54884565,-9.458263,10.4909182,1.899,2.541,-0.529,HIP,3.72,6.183,K2 V,0.881,
2276255,3168-2798-1,1872046574983497216,103883,104217,201092,8086,Gl 820B,,Cyg,,21.11535264,38.74202151,11.4052568,1.986,-1.869,2.188,G_R3,6.05,8.332,K7V,1.309,
2276178,3168-2800-1,1872046609345556480,103879,104214,201091,8085,Gl 820A,,Cyg,,21.114794,38.749415,11.4059092,1.985,-1.87,2.188,G_R3,5.2,7.482,K5V,1.069,
749263,187-2184-1,,37173,37279,61421,2943,Gl 280A,Alp,CMi,Procyon,7.65514946,5.22750767,11.4633204,-1.469,3.176,0.32,HIP,0.4,2.671,F5IV-V,0.432,
2380698,8817-984-1,6412595290592307840,108526,108870,209100,8387,Gl 845,Eps,Ind,,22.05601538,-56.78597448,11.8684608,1.74,-0.971,-3.044,G_R3,4.69,6.885,K5V,1.056,
130695,5855-2292-1,,8087,8102,10700,509,Gl 71,Tau,Cet,,1.734479,-15.93748,11.9069524,3.154,1.54,-1.002,HIP,3.49,5.678,G8V,0.727,
2296684,7966-1201-1,6583272171336048640,104751,105090,202560,,Gl 825,,Mic,Lacaille 8760,21.287725,-38.867362,12.9488352,2.344,-2.015,-2.491,G_R3,6.69,8.696,M1/M2V,1.397,
1068676,3437-811-1,823773494718931968,49767,49908,88230,,Gl 380,,UMa,,10.18948426,49.45423362,15.8878972,-2.817,1.445,3.701,G_R3,6.6,8.162,K8V,1.326,
309538,5312-2325-1,,19799,19849,26965,1325,Gl 166A,Omi-2,Eri,Keid,4.254537,-7.652871,16.259439,2.18,4.433,-0.664,HIP,4.43,5.942,K1V,0.82,
1809872,434-5213-1,,88327,88601,165341,6752,Gl 702A,,Oph,,18.09093627,2.49979492,16.5820508,0.121,-5.077,0.222,HIP,4.03,5.499,K0V SB,0.86,
2089783,1058-3399-1,,97338,97649,187642,7557,Gl 768,Alp,Aql,Altair,19.84630057,8.86738491,16.732429,2.355,-4.487,0.791,HIP,0.76,2.21,A1N,0.221,
2036555,4448-2481-1,,95799,96100,185144,7462,Gl 764,Sig,Dra,Alsafi,19.53933116,69.6611839,18.7718314,0.784,-1.84,5.396,HIP,4.67,5.87,K0V,0.786,
1476026,6180-855-1,6232511606838403968,72957,73184,131977,5568,Gl 570A,,Lib,,14.95777776,-21.41549841,19.2014368,-3.918,-3.832,-2.149,G_R3,5.72,6.871,K4V,1.024,
1700333,6820-326-1,4109030160308320128,84147,84405,155885,6401,Gl 663A,,Oph,Guniibuu,17.255836,-26.602829,19.4164026,-1.03,-5.222,-2.665,G_R3,4.33,5.457,K2:III:,0.855,
63250,3663-2669-1,,3814,3821,4614,219,Gl 34A,Eta,Cas,Achird,0.81826,57.815187,19.4190122,3.098,0.674,5.038,HIP,3.46,4.586,G0V SB,0.587,
1701934,6820-293-1,4109034455276324608,84220,84478,156026,,Gl 664,,Oph,,17.27037831,-26.54614778,19.4209694,-1.011,-5.229,-2.661,G_R3,6.33,7.456,K5V,1.144,
2146012,7453-1391-1,6697578465310949376,99143,99461,191408,7703,Gl 783A,,Sgr,,20.18664973,-36.10119781,19.6117964,2.631,-4.083,-3.542,G_R3,5.32,6.425,K2V,0.868,
246055,7567-1183-1,,15471,15510,20794,1008,Gl 139,,Eri,82 G. Eri,3.33212526,-43.06978094,19.7135708,2.839,3.381,-4.127,HIP,4.26,5.354,G8V,0.711,
2139414,9098-1918-1,6427464123776727168,98924,99240,190248,7665,Gl 780,Del,Pav,,20.14544678,-66.18206983,19.8959166,1.312,-2.085,-5.58,G_R3,3.55,4.624,G5IV-Vvar,0.751,
2490842,4006-1866-1,2009481748875806976,114260,114622,219134,8832,Gl 892,,Cas,,23.22138224,57.16835643,21.3393516,3.473,-0.718,5.497,G_R3,5.57,6.492,K3Vvar,1,
1467720,1481-722-1,1237090738916392704,72432,72659,131156,5544,Gl 566A,Xi,Boo,,14.856493,19.10046,22.030243199999997,-4.679,-4.34,2.21,G_R3,4.54,5.392,G8V + K4V,0.72,
1707037,7370-850-1,,84451,84709,156384,6426,Gl 667A,,Sco,,17.315842,-34.989792,22.2980534,-0.998,-5.511,-3.92,HIP,5.91,6.736,K4V,1.082,
196694,52-1686-1,,12082,12114,16160,753,Gl 105A,,Cet,268 G. Cet,2.601357,6.88687,23.4221386,5.538,4.488,0.861,HIP,5.79,6.509,K3V,0.918,
62405,17-1398-1,2552925644460225152,3759,3765,4628,222,Gl 33,,Psc,96 G. Psc,0.80638256,5.28062765,24.2536224,7.239,1.551,0.684,G_R3,5.74,6.384,K2V,0.89,
34144,9350-1626-1,4683897617110115200,2016,2021,2151,98,Gl 19,Bet,Hyi,,0.4291886,-77.25425174,24.3942146,1.64,0.185,-7.294,G_R3,2.82,3.451,G2IV,0.618,
87200,3673-1929-1,,5325,5336,6582,321,Gl 53A,Mu,Cas,,1.13787907,54.92029007,24.641148,4.15,1.274,6.181,HIP,5.17,5.779,G5Vp,0.704,
2467154,7505-100-1,6604147121141267712,112923,113283,216803,8721,Gl 879,,PsA,,22.94001544,-31.56556053,24.796093,6.229,-1.774,-3.979,G_R3,6.48,7.076,K4 VP,1.094,
128713,1211-1733-1,96331172942614528,7966,7981,10476,493,Gl 68,,Psc,,1.70826759,20.26851628,24.9344018,6.465,3.101,2.648,G_R3,5.24,5.823,K1V,0.836,
